0 mL,,,,,,,,,
Time,Sucrose,Glucose,Fructose,Lactate,Acetate,Propionate,Ethanol,pH,EC
0,204253,363365,706543,1372.53529,617.89154,483.31973,16028.6,4.37,1.98
24,66775.1,6508.18311,365526,925.33466,620.47668,430.37982,92919.4,4.43,2.25
48,0,0,460701.9,1484.37646,1066.06689,631.53302,113407,4.38,2.75
,,,,,,,,,
1 mL,,,,,,,,,
Time,Sucrose,Glucose,Fructose,Lactate,Acetate,Propionate,Ethanol,pH,EC
0,2.90E+05,4.13E+05,8.02E+05,1520.28406,692.64029,532.5127,2.71E+04,4.375,2
24,9.80E+04,1.03E+04,4.47E+05,1136.11938,591.49133,496.09616,1.05E+05,4.45,2.28
48,0,0,470632.9,1594.70105,989.31409,643.17633,1.17E+05,4.37,2.74
,,,,,,,,,
2 mL,,,,,,,,,
Time,Sucrose,Glucose,Fructose,Lactate,Acetate,Propionate,Ethanol,pH,EC
0,2.73E+05,3.89E+05,7.56E+05,1444.67041,670.039,501.60489,1.69E+04,4.385,1.96
24,6.42E+04,1.85E+04,508653.8,1444.86597,719.60229,582.04364,1.40E+05,4.42,2.32
48,0,0,460853.3,2075.25098,818.43634,659.02747,1.48E+05,4.375,2.92
,,,,,,,,,
4 mL,,,,,,,,,
Time,Sucrose,Glucose,Fructose,Lactate,Acetate,Propionate,Ethanol,pH,EC
0,2.19E+05,3.26E+05,6.29E+05,1233.23315,526.23047,427.77209,1.51E+04,4.38,2.04
24,1.93E+04,7373.46387,455387.4,1300.94348,497.27286,503.77829,1.15E+05,4.44,2.29
48,0,0,370778.6,1675.34155,632.63306,547.45477,1.16E+05,4.39,2.59
,,,,,,,,,
8 mL,,,,,,,,,
Time,Sucrose,Glucose,Fructose,Lactate,Acetate,Propionate,Ethanol,pH,EC
0,2.24E+05,3.31E+05,6.41E+05,1260.05481,592.43286,433.3981,1.60E+04,4.365,2.02
24,1.86E+04,0,474373,1346.45837,491.52423,511.40076,1.22E+05,4.445,2.36
48,0,0,385976.2,1702.86804,628.84906,556.67719,1.24E+05,4.385,2.66
