Time,Sucrose,Glucose,Fructose,Lactate,Acetate,Propionate,Ethanol
0,1.83E+05,2.68E+05,5.80E+05,1184.766,562.109,401.065,1.65E+04
1,1.56E+05,2.27E+05,4.76E+05,982.810,473.161,344.072,1.38E+04
5,239669,320764,568859,1173.35742,553.00726,432.27405,15604.9
24,203833,383357,574617,1209.14966,617.99353,550.29474,23240.7
26,1.45E+05,2.59E+05,5.13E+05,1.16E+03,5.60E+02,5.30E+02,2.59E+04
28,1.30E+05,1.53E+04,4.64E+05,1371.60706,650.3208,571.0752,6.35E+04
46,7.68E+03,1.34E+04,4.43E+05,1.90E+03,8.46E+02,7.04E+02,7.31E+04
48,8203.24512,0,428584.9,1825.60193,820.35632,692.75458,5.33E+04
50,7814.33936,0,424264.5,1852.28723,843.15344,706.6897,8.48E+04
70,0,0,369237.9,1326.04919,809.62665,704.36536,4.41E+04
72,0,0,408264.7,1429.47583,926.9115,762.31635,4.93E+04
74,0,0,450590.3,1542.21924,1096.56055,855.97583,5.84E+04
94,0,0,454687.3,1106.44482,1276.96765,945.51862,5.39E+04
96,0,0,404414.1,938.74713,1178.45557,861.97796,4.11E+04
98,0,0,431292.6,944.94617,1256.91504,920.44464,4.72E+04
167,0,0,182600.8,452.90466,1568.87830,1221.20544,2.85332E+04
171,0,0,202209.7,1000.51184,1587.86108,1286.95996,2.83342E+04
