Time,Sucrose,Glucose,Fructose,Lactate,Acetate,Propionate,Ethanol
FW,4.4929,3.7276,6.1961,2.1176,1.5410,1.1638,0.2799
P1,0.0000,0.0000,0.1281,0.5802,0.1805,0.0237,0.2236
P3,0.0170,0.0759,0.0822,0.5381,0.1463,0.0237,0.0143
0.0,1.4213,1.2281,2.1515,0.7251,0.3638,0.4578,0.0339
0.1,1.7204,1.4203,2.4292,0.8076,0.4723,0.4786,0.0360
0.2,1.6528,1.3695,2.3585,0.7876,0.4267,0.4608,0.0231
0.4,1.6762,1.4051,2.4099,0.8096,0.4922,0.4795,0.0258
4.0,0.0000,0.0000,0.0420,2.3549,0.2904,1.0203,1.3871
4.1,1.1196,1.1714,1.9652,2.4950,0.6361,1.2910,0.6750
4.2,0.1114,0.0895,0.2245,1.4876,0.8361,0.9250,0.9490
4.4,0.0000,0.0000,0.0755,1.5520,0.5990,0.8283,1.0193
