Timestamp,Minutes,Hours,Methane_Volume,Cumulative_Methane_Volume
17/04_15:17,0.0,0.0,0.0,0.0
17/04_16:18,61.0125,1.0169,0.0,0.0
17/04_17:18,121.0113,2.0169,1.5,1.5
17/04_18:18,181.0168,3.0169,1.5,3.0
17/04_19:18,241.0167,4.0169,1.0,4.0
17/04_20:18,301.0166,5.0169,1.0,5.0
17/04_21:18,361.0167,6.0169,1.0,6.0
17/04_22:18,421.0165,7.0169,0.5,6.5
17/04_23:18,481.0166,8.0169,1.0,7.5
18/04_00:18,541.0204,9.017,1.5,9.0
18/04_01:18,601.0224,10.017,1.0,10.0
18/04_02:18,661.0228,11.017,1.0,11.0
18/04_03:18,721.0232,12.0171,1.0,12.0
18/04_04:18,781.0233,13.0171,1.0,13.0
18/04_05:18,841.0232,14.0171,0.5,13.5
18/04_06:18,901.0232,15.0171,1.0,14.5
18/04_07:18,961.0234,16.0171,0.5,15.0
18/04_08:18,1021.0232,17.0171,0.5,15.5
18/04_09:18,1081.0306,18.0172,1.0,16.5
18/04_10:18,1141.0336,19.0172,1.0,17.5
18/04_11:18,1201.035,20.0172,1.0,18.5
18/04_12:18,1261.0358,21.0173,1.0,19.5
18/04_13:18,1321.0363,22.0173,1.0,20.5
18/04_14:18,1381.0369,23.0173,1.0,21.5
18/04_15:18,1441.0377,24.0173,0.5,22.0
18/04_16:18,1501.038,25.0173,0.5,22.5
18/04_17:18,1561.0387,26.0173,0.5,23.0
18/04_18:18,1621.0423,27.0174,0.5,23.5
18/04_19:18,1681.0442,28.0174,0.5,24.0
18/04_20:18,1741.0453,29.0174,0.5,24.5
18/04_21:18,1801.046,30.0174,0.5,25.0
18/04_22:18,1861.0469,31.0174,0.5,25.5
18/04_23:18,1921.0495,32.0175,0.5,26.0
19/04_00:18,1981.0496,33.0175,0.5,26.5
19/04_01:18,2041.0495,34.0175,0.5,27.0
19/04_02:18,2101.0497,35.0175,0.5,27.5
19/04_03:18,2161.0512,36.0175,0.5,28.0
19/04_04:18,2221.053,37.0176,0.5,28.5
19/04_05:18,2281.0537,38.0176,0.5,29.0
19/04_06:18,2341.0541,39.0176,0.5,29.5
19/04_07:18,2401.054,40.0176,0.5,30.0
19/04_08:18,2461.0539,41.0176,0.5,30.5
19/04_09:18,2521.0539,42.0176,0.5,31.0
19/04_10:18,2581.054,43.0176,0.5,31.5
19/04_11:05,2627.27,43.7878,0.5,32.0
19/04_11:50,2672.9153,44.5486,1.0,33.0
19/04_12:50,2732.9219,45.5487,1.0,34.0
19/04_13:50,2792.9243,46.5487,1.0,35.0
19/04_14:50,2852.9254,47.5488,0.5,35.5
19/04_15:50,2912.9264,48.5488,1.0,36.5
19/04_16:50,2972.9269,49.5488,0.5,37.0
19/04_17:50,3032.9273,50.5488,0.5,37.5
19/04_18:50,3092.9281,51.5488,0.5,38.0
19/04_19:50,3152.9285,52.5488,0.5,38.5
19/04_20:50,3212.929,53.5488,0.5,39.0
19/04_21:50,3272.9334,54.5489,0.3,39.3
19/04_22:50,3332.9347,55.5489,0.3,39.6
19/04_23:50,3392.9363,56.5489,0.2,39.8
20/04_00:50,3452.9361,57.5489,0.2,40.0
20/04_01:50,3512.9364,58.5489,0.2,40.2
20/04_02:50,3572.9363,59.5489,0.1,40.3
20/04_03:50,3632.9366,60.5489,0.1,40.4
20/04_04:50,3692.9362,61.5489,0.1,40.5
20/04_05:50,3752.9364,62.5489,0.0,40.5
20/04_06:50,3812.9394,63.549,0.0,40.5
20/04_07:50,3872.9414,64.549,0.0,40.5
20/04_08:50,3932.9418,65.549,0.0,40.5
20/04_09:50,3992.9422,66.549,0.0,40.5
