Timestamp,Minutes,Hours,Methane_Volume,Cumulative_Methane_Volume
01/04_11:15,0.0,0.0,0.0,0.0
01/04_11:21,6.4386,0.1073,6.0,6.0
01/04_11:52,36.7648,0.6127,0.5,6.5
01/04_12:22,66.7647,1.1127,0.1,6.6
01/04_16:52,336.7653,5.6128,0.5,7.1
02/04_10:54,1418.5761,23.6429,1.5,8.6
02/04_12:54,1538.5835,25.6431,0.2,8.8
02/04_13:24,1568.5834,26.1431,0.1,8.9
02/04_13:54,1598.5836,26.6431,0.1,9.0
02/04_14:24,1628.5836,27.1431,0.1,9.1
02/04_14:54,1658.5836,27.6431,0.1,9.2
02/04_15:24,1688.5834,28.1431,0.1,9.3
02/04_15:54,1718.5834,28.6431,0.1,9.4
02/04_16:24,1748.5837,29.1431,0.1,9.5
02/04_16:54,1778.5837,29.6431,0.1,9.6
02/04_17:24,1808.5834,30.1431,0.1,9.7
02/04_17:54,1838.5902,30.6432,0.1,9.8
02/04_19:54,1958.5907,32.6432,0.1,9.9
02/04_21:54,2078.5923,34.6432,0.1,10.0
02/04_23:54,2198.5966,36.6433,0.1,10.1
03/04_01:54,2318.5966,38.6433,0.1,10.2
03/04_03:54,2438.5964,40.6433,0.1,10.3
03/04_05:54,2558.6014,42.6434,0.1,10.4
03/04_07:54,2678.6033,44.6434,0.1,10.5
03/04_09:54,2798.6034,46.6434,0.1,10.6
03/04_12:54,2978.6123,49.6435,0.1,10.7
03/04_13:54,3038.6121,50.6435,0.2,10.9
03/04_14:24,3068.6131,51.1436,0.2,11.1
