Timestamp,Seconds,Minutes,Methane_Volume,Cumulative_Methane_Volume
27/03_18:45,0.0,0.0,0.0,0.0
27/03_18:46,61.304,1.0217333333333334,9.0,9.0
27/03_18:48,181.303,3.021716666666667,3.0,12.0
27/03_18:50,301.313,5.021883333333333,2.0,14.0
27/03_18:52,421.307,7.0217833333333335,3.0,17.0
27/03_18:54,541.305,9.02175,3.0,20.0
27/03_18:56,661.31,11.021833333333333,3.0,23.0
27/03_18:58,781.308,13.0218,2.5,25.5
27/03_19:00,901.313,15.021883333333333,2.5,28.0
27/03_19:02,1021.322,17.022033333333333,2.5,30.5
27/03_19:04,1141.316,19.021933333333333,1.5,32.0
27/03_19:06,1261.325,21.022083333333335,3.0,35.0
27/03_19:08,1381.328,23.022133333333333,1.0,36.0
27/03_19:10,1501.327,25.022116666666665,1.0,37.0
27/03_19:12,1621.332,27.0222,1.5,38.5
27/03_19:14,1741.33,29.022166666666667,0.5,39.0
27/03_19:15,1750.422,29.1737,0.1,39.1
