Timestamp,Minutes,Hours,Methane_Volume,Cumulative_Methane_Volume
27/03_19:19,0.0,0.0,0.0,0.0
27/03_19:21,2.0,0.0333,3.0,3.0
27/03_19:23,4.0002,0.0667,2.0,5.0
27/03_19:25,6.0003,0.1,2.0,7.0
27/03_19:27,8.0005,0.1333,2.0,9.0
27/03_19:29,10.0005,0.1667,3.0,12.0
27/03_19:31,12.0005,0.2,2.0,14.0
27/03_19:33,14.0004,0.2333,2.0,16.0
27/03_19:35,16.0005,0.2667,3.0,19.0
27/03_19:37,18.0004,0.3,2.0,21.0
27/03_19:39,20.0004,0.3333,2.5,23.5
27/03_19:41,22.0006,0.3667,2.5,26.0
27/03_19:43,24.0004,0.4,2.0,28.0
27/03_19:45,26.0004,0.4333,2.5,30.5
27/03_19:47,28.0005,0.4667,2.5,33.0
27/03_19:48,29.7386,0.4956,2.0,35.0
