Timestamp,Minutes,Hours,Methane_Volume,Cumulative_Methane_Volume
05/04_11:40,0.0,0.0,0.0,0.0
05/04_12:40,60.0058,1.0001,0.1,0.1
05/04_14:40,180.0058,3.0001,0.2,0.3
05/04_16:40,300.0062,5.0001,0.2,0.5
05/04_18:40,420.0122,7.0002,0.1,0.6
05/04_20:40,540.013,9.0002,0.1,0.7
05/04_22:40,660.0156,11.0003,0.1,0.8
06/04_00:40,780.0193,13.0003,0.1,0.9
06/04_02:40,900.0195,15.0003,0.1,1.0
06/04_04:40,1020.0194,17.0003,0.05,1.05
06/04_06:40,1140.0248,19.0004,0.05,1.1
06/04_08:40,1260.0268,21.0004,0.0,1.1
06/04_10:40,1380.0267,23.0004,0.0,1.1
06/04_12:40,1500.0347,25.0006,0.2,1.3
06/04_14:40,1620.035,27.0006,0.2,1.5
06/04_16:40,1740.0376,29.0006,0.1,1.6
06/04_18:40,1860.0382,31.0006,0.1,1.7
06/04_20:40,1980.0384,33.0006,0.1,1.8
06/04_22:40,2100.0384,35.0006,0.0,1.8
07/04_00:40,2220.0486,37.0008,0.1,1.9
07/04_02:40,2340.0492,39.0008,0.1,2.0
07/04_04:40,2460.0493,41.0008,0.1,2.1
07/04_06:40,2580.0492,43.0008,0.1,2.2
07/04_08:40,2700.0512,45.0009,0.0,2.2
07/04_10:40,2820.0606,47.001,0.1,2.3
07/04_12:40,2940.0626,49.001,0.05,2.35
07/04_14:40,3060.0641,51.0011,0.0,2.35
07/04_16:40,3180.0654,53.0011,0.0,2.35
07/04_18:40,3300.0717,55.0012,0.0,2.35
07/04_20:40,3420.0729,57.0012,0.0,2.35
