Timestamp,Minutes,Hours,Methane_Volume,Cumulative_Methane_Volume
15/04_12:02,0.0,0.0,0.0,0.0
15/04_12:04,2.0,0.0333,0.2,0.2
15/04_12:06,3.9705,0.0662,0.0,0.2
15/04_12:07,4.9709,0.0828,0.0,0.2
15/04_12:08,5.9707,0.0995,0.1,0.3
15/04_12:11,8.9707,0.1495,0.1,0.4
15/04_12:11,9.2822,0.1547,0.0,0.4
15/04_12:12,10.282,0.1714,0.0,0.4
15/04_12:13,11.282,0.188,0.0,0.4
15/04_12:16,14.0989,0.235,0.0,0.4
15/04_12:18,16.0993,0.2683,0.0,0.4
15/04_12:19,17.0994,0.285,0.0,0.4
15/04_12:20,18.7845,0.3131,0.0,0.4
15/04_12:21,19.7846,0.3297,0.0,0.4
15/04_12:29,27.1199,0.452,0.0,0.4
15/04_13:29,87.1199,1.452,0.0,0.4
15/04_14:29,147.1199,2.452,0.1,0.5
15/04_15:29,207.1202,3.452,0.0,0.5
15/04_16:29,267.12,4.452,0.0,0.5
15/04_17:29,327.138,5.4523,0.0,0.5
15/04_18:29,387.1408,6.4523,0.0,0.5
15/04_19:29,447.1449,7.4524,0.1,0.6
15/04_20:29,507.1423,8.4524,0.0,0.6
15/04_21:29,567.1425,9.4524,0.0,0.6
15/04_22:29,627.1424,10.4524,0.1,0.7
15/04_23:29,687.1344,11.4522,0.0,0.7
16/04_00:29,747.1342,12.4522,0.0,0.7
16/04_01:29,807.1345,13.4522,0.0,0.7
16/04_02:29,867.1359,14.4523,0.0,0.7
16/04_03:29,927.1375,15.4523,0.0,0.7
16/04_04:29,987.1378,16.4523,0.1,0.8
16/04_05:29,1047.138,17.4523,0.0,0.8
16/04_06:29,1107.1379,18.4523,0.3,1.1
16/04_07:29,1167.138,19.4523,0.5,1.6
16/04_08:29,1227.1382,20.4523,0.3,1.9
16/04_09:29,1287.138,21.4523,0.3,2.2
16/04_10:26,1344.5205,22.4087,0.3,2.5
16/04_11:26,1404.5257,23.4088,0.3,2.8
16/04_12:26,1464.5317,24.4089,0.3,3.1
16/04_13:26,1524.5314,25.4089,0.3,3.4
16/04_14:26,1584.5316,26.4089,0.3,3.7
16/04_15:26,1644.5315,27.4089,0.3,4.0
16/04_16:26,1704.5315,28.4089,0.3,4.3
16/04_17:26,1764.5316,29.4089,0.3,4.6
16/04_18:26,1824.5376,30.409,0.3,4.9
16/04_19:26,1884.5373,31.409,0.3,5.2
16/04_20:26,1944.5378,32.409,0.3,5.5
16/04_21:26,2004.5399,33.409,0.3,5.8
16/04_22:26,2064.5406,34.409,0.3,6.1
16/04_23:26,2124.553,35.4092,0.2,6.3
