Time,Sucrose,Glucose,Fructose,Lactate,Acetate,Propionate,Ethanol
F,5.93444e+5,9.92911e+5,1662325,3223.15649,1682.2533,1208.53625,4.04881e+4
P1,0,5491.39648,23271,883.80920,196.43306,0,3.41100e+4
P3,7354.44727,2.79685e+4,10877,819.69983,159.07983,0,1.03977e+4
0.0,1.91242e+5,3.32432e+5,569813,1104.27136,396.63602,460.15369,1.26196e+4
0.1,2.30412e+5,3.83220e+5,644827,1229.75415,515.05682,482.21198,1.28531e+4
0.2,2.21552e+5,3.69785e+5,625738,1199.34460,465.27872,463.34363,1.13883e+4
0.4,2.24616e+5,3.79210e+5,639622,1232.93384,536.88306,483.07791,1.17005e+4
4.0,0,0,0,3584.33228,316.41711,1056.38965,1.65908e+5
4.1,1.51735e+5,3.17448e+5,519505,3797.42065,693.97406,1343.32898,8.52433e+4
4.2,1.97147e+4,3.15457e+4,49316,2264.57251,912.37109,955.42914,1.16287e+5
4.4,0,0,9068,2362.59814,653.46082,852.86292,1.24243e+5
